date,qna_count
2020-02-28,7
2020-02-27,49
2020-02-26,42
2020-02-25,35
2020-02-24,39
2020-02-23,38
2020-02-22,28
2020-02-21,42
2020-02-20,43
date,qna_count
2020-02-28,7
