date,qna_count
2020-02-27,462
2020-02-26,312
date,qna_count
2020-02-27,60
date,qna_count
2020-02-27,255
date,qna_count
2020-02-27,480
2020-02-26,312
date,qna_count
2020-02-27,189
2020-02-26,259
